date, time, open, high, low, close, volumn, turnover
1999-11-10, 0, 29.5, 29.8, 27.0, 27.75, 174085055,4859102435.0
1999-11-11, 0, 27.58, 28.38, 27.53, 27.71, 29403491,821582199.0
1999-11-12, 0, 27.86, 28.3, 27.77, 28.05, 15007963,421591623.0
1999-11-15, 0, 28.2, 28.25, 27.7, 27.75, 11921071,332952812.0
1999-11-16, 0, 27.88, 27.97, 26.48, 26.55, 23223120,628908296.0
1999-11-17, 0, 26.5, 27.18, 26.37, 27.18, 10052566,268995055.0
1999-11-18, 0, 27.2, 27.58, 26.78, 27.02, 8446529,229577879.0
1999-11-19, 0, 27.5, 27.53, 26.8, 26.88, 5374994,145887121.0
1999-11-22, 0, 26.88, 26.95, 26.3, 26.45, 5535421,147086153.0
1999-11-23, 0, 26.45, 26.55, 26.1, 26.45, 3843966,101224493.0
1999-11-24, 0, 26.44, 26.55, 26.01, 26.43, 4098001,107344461.0
1999-11-25, 0, 26.3, 26.66, 26.02, 26.4, 5725292,150528185.0
1999-11-26, 0, 26.43, 26.66, 26.15, 26.45, 2282685,60508935.0
1999-11-29, 0, 26.45, 26.83, 26.22, 26.33, 2681243,71099577.0
1999-11-30, 0, 26.3, 26.5, 26.11, 26.4, 2371355,62335742.0
1999-12-01, 0, 26.31, 26.9, 26.21, 26.6, 2865195,76287992.0
1999-12-02, 0, 26.52, 26.72, 26.22, 26.26, 1938487,51110241.0
1999-12-03, 0, 26.25, 26.65, 26.2, 26.36, 2552574,67291877.0
1999-12-06, 0, 26.3, 26.35, 25.6, 25.66, 6983999,180516074.0
1999-12-07, 0, 25.6, 25.85, 25.5, 25.6, 3955769,101467905.0
1999-12-08, 0, 25.6, 25.76, 25.5, 25.53, 2236538,57214358.0
1999-12-09, 0, 25.5, 25.55, 25.3, 25.36, 2564635,65136972.0
1999-12-10, 0, 25.36, 26.1, 25.22, 25.97, 3553913,91041273.0
1999-12-13, 0, 25.98, 26.45, 25.6, 25.92, 7058409,184655963.0
1999-12-14, 0, 25.7, 26.0, 25.7, 26.0, 1618462,41845145.0
1999-12-15, 0, 26.0, 26.9, 25.9, 26.45, 6797886,180407899.0
1999-12-16, 0, 26.5, 26.5, 25.95, 26.0, 3616200,94601476.0
1999-12-17, 0, 26.0, 26.13, 25.51, 25.58, 3565329,91807404.0
1999-12-21, 0, 25.45, 25.55, 25.14, 25.24, 4215311,106523995.0
1999-12-22, 0, 25.24, 25.35, 25.05, 25.15, 3083548,77614086.0
1999-12-23, 0, 25.2, 25.3, 24.7, 24.78, 4161561,103557903.0
1999-12-24, 0, 24.6, 25.07, 24.59, 24.75, 2832485,70142724.0
1999-12-27, 0, 24.75, 25.0, 24.5, 24.58, 2233778,55170691.0
1999-12-28, 0, 24.54, 25.08, 24.5, 24.6, 3176686,78430313.0
1999-12-29, 0, 24.71, 24.97, 24.57, 24.66, 2284237,56436027.0
1999-12-30, 0, 24.9, 24.99, 24.65, 24.75, 2333169,57888237.0
2000-01-04, 0, 24.98, 25.78, 24.75, 25.57, 4496068,113946783.0
