<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2020/1/2 星期四,09:31:00,78.78,78.89,78.78,78.81,175658
2020/1/2 星期四,09:32:00,78.80,78.80,78.60,78.60,55942
2020/1/2 星期四,09:33:00,78.60,78.78,78.58,78.78,90105
2020/1/2 星期四,09:34:00,78.73,78.73,78.59,78.59,38300
2020/1/2 星期四,09:35:00,78.58,78.58,78.40,78.43,48600
2020/1/2 星期四,09:36:00,78.41,78.41,78.31,78.31,49800
2020/1/2 星期四,09:37:00,78.30,78.44,78.28,78.43,60900
2020/1/2 星期四,09:38:00,78.42,78.42,78.38,78.40,62300
2020/1/2 星期四,09:39:00,78.39,78.39,78.18,78.18,101900
2020/1/2 星期四,09:40:00,78.20,78.42,78.16,78.42,94800
2020/1/2 星期四,09:41:00,78.40,78.43,78.37,78.42,49600
2020/1/2 星期四,09:42:00,78.39,78.40,78.35,78.40,48000
2020/1/2 星期四,09:43:00,78.37,78.37,78.35,78.37,44200
2020/1/2 星期四,09:44:00,78.37,78.37,78.35,78.36,27100
2020/1/2 星期四,09:45:00,78.37,78.37,78.26,78.26,60500
2020/1/2 星期四,09:46:00,78.23,78.24,78.21,78.23,53200
2020/1/2 星期四,09:47:00,78.23,78.30,78.20,78.23,54700
2020/1/2 星期四,09:48:00,78.30,78.35,78.22,78.33,43700
2020/1/2 星期四,09:49:00,78.33,78.35,78.30,78.30,26900
2020/1/2 星期四,09:50:00,78.30,78.33,78.29,78.33,30600
2020/1/2 星期四,09:51:00,78.31,78.33,78.30,78.30,33700
2020/1/2 星期四,09:52:00,78.30,78.31,78.26,78.30,48200
2020/1/2 星期四,09:53:00,78.30,78.31,78.28,78.30,55500
2020/1/2 星期四,09:54:00,78.30,78.30,78.21,78.28,63000
2020/1/2 星期四,09:55:00,78.26,78.31,78.21,78.30,142000
2020/1/2 星期四,09:56:00,78.26,78.27,78.21,78.23,68900
2020/1/2 星期四,09:57:00,78.23,78.23,78.12,78.15,133200
2020/1/2 星期四,09:58:00,78.15,78.15,78.11,78.11,81128
2020/1/2 星期四,09:59:00,78.13,78.15,78.11,78.14,55900
2020/1/2 星期四,10:00:00,78.12,78.17,78.11,78.17,61100
2020/1/2 星期四,10:01:00,78.13,78.16,78.12,78.14,63400
2020/1/2 星期四,10:02:00,78.12,78.14,77.91,77.91,212672
2020/1/2 星期四,10:03:00,77.90,77.90,77.80,77.88,121600
2020/1/2 星期四,10:04:00,77.88,77.94,77.81,77.94,169600
2020/1/2 星期四,10:05:00,77.91,77.95,77.90,77.93,106200
2020/1/2 星期四,10:06:00,77.95,78.15,77.91,78.00,87900
2020/1/2 星期四,10:07:00,77.90,78.05,77.90,78.04,67100
2020/1/2 星期四,10:08:00,78.02,78.08,77.88,77.94,123400
2020/1/2 星期四,10:09:00,77.88,77.91,77.85,77.85,105600
2020/1/2 星期四,10:10:00,77.82,77.87,77.80,77.82,98400
2020/1/2 星期四,10:11:00,77.80,77.85,77.79,77.84,117400
2020/1/2 星期四,10:12:00,77.84,77.86,77.80,77.80,104100
2020/1/2 星期四,10:13:00,77.85,77.86,77.81,77.85,46200
2020/1/2 星期四,10:14:00,77.83,77.85,77.81,77.85,42300
2020/1/2 星期四,10:15:00,77.80,77.82,77.79,77.82,105100
2020/1/2 星期四,10:16:00,77.84,77.84,77.70,77.70,180700
2020/1/2 星期四,10:17:00,77.69,77.69,77.61,77.62,117600
2020/1/2 星期四,10:18:00,77.62,77.65,77.57,77.65,117300
2020/1/2 星期四,10:19:00,77.62,77.64,77.54,77.54,113460
2020/1/2 星期四,10:20:00,77.53,77.55,77.46,77.48,223840
2020/1/2 星期四,10:21:00,77.50,77.50,77.34,77.34,212500
2020/1/2 星期四,10:22:00,77.35,77.35,77.22,77.23,302600
2020/1/2 星期四,10:23:00,77.23,77.25,77.20,77.25,316875
2020/1/2 星期四,10:24:00,77.25,77.36,77.23,77.36,121464
2020/1/2 星期四,10:25:00,77.38,77.50,77.37,77.46,67300
2020/1/2 星期四,10:26:00,77.50,77.60,77.45,77.60,73700
2020/1/2 星期四,10:27:00,77.50,77.58,77.46,77.56,41400
2020/1/2 星期四,10:28:00,77.51,77.51,77.33,77.40,157200
2020/1/2 星期四,10:29:00,77.40,77.41,77.39,77.40,118700
2020/1/2 星期四,10:30:00,77.40,77.40,77.35,77.35,142300
2020/1/2 星期四,10:31:00,77.36,77.40,77.36,77.40,84700
2020/1/2 星期四,10:32:00,77.39,77.40,77.38,77.40,78600
2020/1/2 星期四,10:33:00,77.40,77.45,77.40,77.45,72900
2020/1/2 星期四,10:34:00,77.50,77.63,77.45,77.60,72700
2020/1/2 星期四,10:35:00,77.62,77.74,77.58,77.72,92700
2020/1/2 星期四,10:36:00,77.72,77.72,77.65,77.72,113200
2020/1/2 星期四,10:37:00,77.70,77.79,77.70,77.79,36000
2020/1/2 星期四,10:38:00,77.77,77.88,77.77,77.88,111200
2020/1/2 星期四,10:39:00,77.87,77.87,77.79,77.82,63600
2020/1/2 星期四,10:40:00,77.79,77.82,77.75,77.78,77600
2020/1/2 星期四,10:41:00,77.76,77.79,77.70,77.71,86500
2020/1/2 星期四,10:42:00,77.69,77.76,77.67,77.68,89200
2020/1/2 星期四,10:43:00,77.67,77.68,77.48,77.51,91600
2020/1/2 星期四,10:44:00,77.52,77.62,77.51,77.61,46300
2020/1/2 星期四,10:45:00,77.64,77.69,77.54,77.59,40400
2020/1/2 星期四,10:46:00,77.60,77.67,77.60,77.65,46300
2020/1/2 星期四,10:47:00,77.65,77.65,77.45,77.46,201900
2020/1/2 星期四,10:48:00,77.50,77.50,77.44,77.46,114100
2020/1/2 星期四,10:49:00,77.46,77.52,77.46,77.51,38700
2020/1/2 星期四,10:50:00,77.51,77.55,77.50,77.51,61700
2020/1/2 星期四,10:51:00,77.52,77.58,77.51,77.56,31600
2020/1/2 星期四,10:52:00,77.57,77.73,77.57,77.57,49000
2020/1/2 星期四,10:53:00,77.54,77.58,77.53,77.54,38900
2020/1/2 星期四,10:54:00,77.57,77.68,77.57,77.60,32000
2020/1/2 星期四,10:55:00,77.63,77.63,77.55,77.62,52800
2020/1/2 星期四,10:56:00,77.63,77.64,77.55,77.55,41800
2020/1/2 星期四,10:57:00,77.56,77.58,77.55,77.55,18800
2020/1/2 星期四,10:58:00,77.57,77.60,77.55,77.56,25900
2020/1/2 星期四,10:59:00,77.57,77.57,77.50,77.53,76700
2020/1/2 星期四,11:00:00,77.54,77.59,77.54,77.57,17600
2020/1/2 星期四,11:01:00,77.56,77.58,77.55,77.56,28300
2020/1/2 星期四,11:02:00,77.54,77.58,77.54,77.54,62700
2020/1/2 星期四,11:03:00,77.55,77.56,77.53,77.56,26200
2020/1/2 星期四,11:04:00,77.53,77.53,77.46,77.48,222900
2020/1/2 星期四,11:05:00,77.46,77.51,77.46,77.51,40523
2020/1/2 星期四,11:06:00,77.51,77.55,77.50,77.50,32700
2020/1/2 星期四,11:07:00,77.52,77.52,77.50,77.52,32373
2020/1/2 星期四,11:08:00,77.51,77.55,77.51,77.55,36000
2020/1/2 星期四,11:09:00,77.55,77.55,77.50,77.51,24700
2020/1/2 星期四,11:10:00,77.52,77.55,77.50,77.52,35100
2020/1/2 星期四,11:11:00,77.52,77.55,77.50,77.53,26100
2020/1/2 星期四,11:12:00,77.54,77.63,77.51,77.60,68800
2020/1/2 星期四,11:13:00,77.59,77.64,77.55,77.60,31700
2020/1/2 星期四,11:14:00,77.57,77.57,77.54,77.55,49649
2020/1/2 星期四,11:15:00,77.55,77.57,77.53,77.57,42300
2020/1/2 星期四,11:16:00,77.57,77.58,77.55,77.57,26800
2020/1/2 星期四,11:17:00,77.57,77.58,77.55,77.57,19700
2020/1/2 星期四,11:18:00,77.56,77.59,77.56,77.57,23500
2020/1/2 星期四,11:19:00,77.58,77.68,77.55,77.68,46300
2020/1/2 星期四,11:20:00,77.65,77.67,77.65,77.67,23600
2020/1/2 星期四,11:21:00,77.68,77.69,77.58,77.58,54000
2020/1/2 星期四,11:22:00,77.58,77.58,77.55,77.55,32200
2020/1/2 星期四,11:23:00,77.55,77.56,77.54,77.56,25300
2020/1/2 星期四,11:24:00,77.54,77.57,77.52,77.53,38800
2020/1/2 星期四,11:25:00,77.52,77.53,77.50,77.53,44300
2020/1/2 星期四,11:26:00,77.53,77.55,77.52,77.55,24400
2020/1/2 星期四,11:27:00,77.53,77.54,77.52,77.53,22700
2020/1/2 星期四,11:28:00,77.54,77.54,77.50,77.50,41400
2020/1/2 星期四,11:29:00,77.50,77.52,77.50,77.51,17800
2020/1/2 星期四,11:30:00,77.52,77.55,77.50,77.51,27200
2020/1/2 星期四,13:01:00,77.60,77.60,77.55,77.60,53174
2020/1/2 星期四,13:02:00,77.57,77.65,77.57,77.59,16400
2020/1/2 星期四,13:03:00,77.58,77.61,77.55,77.56,31500
2020/1/2 星期四,13:04:00,77.57,77.58,77.55,77.56,15600
2020/1/2 星期四,13:05:00,77.55,77.59,77.55,77.55,66112
2020/1/2 星期四,13:06:00,77.55,77.58,77.54,77.56,52800
2020/1/2 星期四,13:07:00,77.58,77.58,77.55,77.57,17000
2020/1/2 星期四,13:08:00,77.57,77.59,77.55,77.55,25900
2020/1/2 星期四,13:09:00,77.56,77.59,77.52,77.54,68714
2020/1/2 星期四,13:10:00,77.60,77.60,77.53,77.55,22800
2020/1/2 星期四,13:11:00,77.54,77.56,77.49,77.49,155627
2020/1/2 星期四,13:12:00,77.49,77.50,77.46,77.48,114800
2020/1/2 星期四,13:13:00,77.48,77.52,77.46,77.48,41500
2020/1/2 星期四,13:14:00,77.47,77.50,77.46,77.47,30100
2020/1/2 星期四,13:15:00,77.50,77.50,77.46,77.48,56745
2020/1/2 星期四,13:16:00,77.48,77.48,77.44,77.45,110200
2020/1/2 星期四,13:17:00,77.45,77.46,77.45,77.46,69300
2020/1/2 星期四,13:18:00,77.45,77.47,77.44,77.46,40100
2020/1/2 星期四,13:19:00,77.45,77.46,77.43,77.43,96500
2020/1/2 星期四,13:20:00,77.43,77.45,77.43,77.45,56400
2020/1/2 星期四,13:21:00,77.44,77.46,77.44,77.45,43800
2020/1/2 星期四,13:22:00,77.45,77.46,77.44,77.44,17700
2020/1/2 星期四,13:23:00,77.45,77.45,77.44,77.45,42400
2020/1/2 星期四,13:24:00,77.44,77.45,77.43,77.45,34092
2020/1/2 星期四,13:25:00,77.44,77.46,77.43,77.44,41708
2020/1/2 星期四,13:26:00,77.44,77.46,77.43,77.44,32400
2020/1/2 星期四,13:27:00,77.44,77.45,77.43,77.44,60000
2020/1/2 星期四,13:28:00,77.44,77.45,77.43,77.44,60400
2020/1/2 星期四,13:29:00,77.44,77.44,77.43,77.44,66914
2020/1/2 星期四,13:30:00,77.43,77.45,77.43,77.45,31600
2020/1/2 星期四,13:31:00,77.44,77.46,77.43,77.45,31400
